id,width,parent,graph_prefix,D_ns,A_um2,E_stress_pj,E_uniform_pj,E_low_pj,J,J_reported,margin_ps,feasible,source_path,source_url,note,evidence_level,label,supplement_label,paper_table_label
bbf,64,F02,bbf15474,2.362535,2427.0,2.534645901,1.91126237,0.3754500722,0.9320803737308742,0.932080374,37.46500000000008,True,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,Earlier in-project CHIA F03 result; chosen for timing headroom,receipt view and previously transcribed metrics,Feedback-recovered local design,Feedback-recovered local design,Feedback-recovered local design
H1,64,bbf,a4202284,2.528992,2427.0,2.428729786,1.814035495,0.3478267172,0.8803446654964827,0.880344665,-128.99200000000022,False,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,One-path protection; infeasible,receipt view and previously transcribed metrics,Single-path protection,Single-path protection,
H2,64,bbf,e267f8bd,2.452134,2427.0,2.440835378,1.823997882,0.3506278517,0.8857813004427838,0.8857813,-52.13400000000013,False,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,New-cone protection; sibling of H1,receipt view and previously transcribed metrics,Expanded-path protection,Expanded-path protection,
I1,64,H2,39bb3c78,2.398176,2447.0,2.475488873,1.848241809,0.3623230441,0.9037091361205398,0.9037091361,1.8240000000000478,True,review/chia_I_phase_timing_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_I_phase_timing_repair/20260924/VERDICT.md,Phase plus standard timing repair,receipt view and previously transcribed metrics,Phase + timing repair,Phase + timing repair,
I2,64,bbf,bbf15474,2.365566,2427.0,2.53571925,1.911527652,0.375528507,0.9323199671949746,0.932319967,34.434000000000076,True,review/chia_I_phase_timing_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_I_phase_timing_repair/20260924/VERDICT.md,"Same-recipe repair control; graph NOP, fresh route",receipt view and previously transcribed metrics,Repair-only control,Repair-only control,
J1,64,bbf,8e038f9f,2.376334,2427.0,2.476976952,1.859090553,0.3547985398,0.8993419994867149,0.8993419995,23.665999999999965,True,review/chia_J_timing_frontier/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_J_timing_frontier/20260924/VERDICT.md,Multi-path protection,receipt view and previously transcribed metrics,Multi-path-protected global assignment,Multi-path protection,Multi-path-protected global assignment
N1,64,bbf,053c7242,2.369255,2427.0,2.474159992,1.856979507,0.3530194954,0.8971559836444075,0.8971559836,30.745000000000022,True,review/chia_N_weighted_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_N_weighted_phase/20260924/VERDICT.md,Power-importance weighted phase plan,receipt view and previously transcribed metrics,Power-weighted global assignment,Power-weighted global plan,Power-weighted global assignment
N2,64,N1,320970ab,2.375917,2427.0,2.472119231,1.854768634,0.3532727351,0.8967674921289615,0.8967674921,24.083000000000077,True,review/chia_N_weighted_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_N_weighted_phase/20260924/VERDICT.md,Local pair selected after historical feedback,receipt view and previously transcribed metrics,Feedback-selected local pair,Feedback-selected pair refinement,Feedback-selected local pair
S2,64,N2,eefeb2af,2.374088,2425.0,2.470198669,1.854111761,0.3517976802,0.8951799620117368,0.895179962,25.911999999999935,True,review/chia_S_folded_xor3/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_S_folded_xor3/20260924/VERDICT.md,Two XOR3 to XNOR3 substitutions; main logic result,receipt view and previously transcribed metrics,Final three-input refinement,Final three-input refinement,Final three-input refinement
U1,64,S2,cd523afe,2.430113,2425.0,2.461443073,1.846514788,0.3513453703,0.8925153721687226,0.8925153722,-30.113000000000056,False,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,Pair309/310; infeasible,receipt view and previously transcribed metrics,Post-final timing failure,Post-final timing failure,
U2,64,U1,eefeb2af,2.375888,2425.0,2.468786261,1.853478461,0.3517407458,0.8948591220541359,0.8948591221,24.11199999999969,True,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,"Undo U1; S2-identical graph/placement, different physical files",receipt view and previously transcribed metrics,"Undo: same logic, new route","Undo: same logic, new route",
U3,64,S2,,2.373983,2425.0,2.475585788,1.85910365,0.3522472616,0.8970152663595823,0.8970152664,26.016999999999957,True,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,"Different logic, worse J",receipt view and previously transcribed metrics,Alternative post-final edit,Alternative post-final edit,
R2,64,P2,e07e2ce0,2.425037,2416.0,2.466217848,1.856532035,0.3514162017,0.8947643094093487,0.8947643094,-25.037000000000198,False,review/chia_T_arity_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_T_arity_repair/20260924/VERDICT.md,Timing-infeasible repair parent,receipt view and previously transcribed metrics,Low-area timing-failing branch,Low-area timing-failing branch,
T1,64,R2,2525e560,2.370334,2424.0,2.470196341,1.862394856,0.3519423262,0.8966336020139302,0.896633602,29.665999999999748,True,review/chia_T_arity_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_T_arity_repair/20260924/VERDICT.md,Repaired faster/smaller tradeoff,receipt view and previously transcribed metrics,Repaired speed/area alternative,Repaired speed/area alternative,
