paper_name,internal_id,width_bits,graph_prefix,known_parent_id,known_parent_name,source_path,source_url,note,main_table_label,supplement_label
Feedback-recovered local design,bbf,64,bbf15474,F02,Conservative one-star recovery,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,Earlier in-project CHIA F03 result; chosen for timing headroom,Feedback-recovered local design,Feedback-recovered local design
Single-path protection,H1,64,a4202284,bbf,Feedback-recovered local design,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,One-path protection; infeasible,,Single-path protection
Expanded-path protection,H2,64,e267f8bd,bbf,Feedback-recovered local design,review/chia_H_phase_assignment/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_H_phase_assignment/20260924/VERDICT.md,New-cone protection; sibling of H1,,Expanded-path protection
Phase + timing repair,I1,64,39bb3c78,H2,Expanded-path protection,review/chia_I_phase_timing_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_I_phase_timing_repair/20260924/VERDICT.md,Phase plus standard timing repair,,Phase + timing repair
Repair-only control,I2,64,bbf15474,bbf,Feedback-recovered local design,review/chia_I_phase_timing_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_I_phase_timing_repair/20260924/VERDICT.md,"Same-recipe repair control; graph NOP, fresh route",,Repair-only control
Multi-path-protected global assignment,J1,64,8e038f9f,bbf,Feedback-recovered local design,review/chia_J_timing_frontier/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_J_timing_frontier/20260924/VERDICT.md,Multi-path protection,Multi-path-protected global assignment,Multi-path protection
Power-weighted global assignment,N1,64,053c7242,bbf,Feedback-recovered local design,review/chia_N_weighted_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_N_weighted_phase/20260924/VERDICT.md,Power-importance weighted phase plan,Power-weighted global assignment,Power-weighted global plan
Feedback-selected local pair,N2,64,320970ab,N1,Power-weighted global plan,review/chia_N_weighted_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_N_weighted_phase/20260924/VERDICT.md,Local pair selected after historical feedback,Feedback-selected local pair,Feedback-selected pair refinement
Final three-input refinement,S2,64,eefeb2af,N2,Feedback-selected pair refinement,review/chia_S_folded_xor3/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_S_folded_xor3/20260924/VERDICT.md,Two XOR3 to XNOR3 substitutions; main logic result,Final three-input refinement,Final three-input refinement
Post-final timing failure,U1,64,cd523afe,S2,Final three-input refinement,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,Pair309/310; infeasible,,Post-final timing failure
"Undo: same logic, new route",U2,64,eefeb2af,U1,Post-final timing failure,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,"Undo U1; S2-identical graph/placement, different physical files",,"Undo: same logic, new route"
Alternative post-final edit,U3,64,,S2,Final three-input refinement,review/chia_U_incumbent_feedback/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_U_incumbent_feedback/20260924/VERDICT.md,"Different logic, worse J",,Alternative post-final edit
Low-area timing-failing branch,R2,64,e07e2ce0,P2,not established in selected table,review/chia_T_arity_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_T_arity_repair/20260924/VERDICT.md,Timing-infeasible repair parent,,Low-area timing-failing branch
Repaired speed/area alternative,T1,64,2525e560,R2,Low-area timing-failing branch,review/chia_T_arity_repair/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_T_arity_repair/20260924/VERDICT.md,Repaired faster/smaller tradeoff,,Repaired speed/area alternative
Feedback-selected four-star trial,ff6,32,ff6f3194,G0,Transferred local phase pairs,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Earlier in-project CHIA G32 four-star result; sibling of G1,Feedback-selected four-star trial,Feedback-selected four-star trial
Minimum-count binary assignment,O1,32,f8a77599,ff6,Feedback-selected four-star trial,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Count-11 binary phase plan,Minimum-count binary assignment,Minimum-count binary plan
Power-weighted binary assignment,O2,32,c6c10558,ff6,Feedback-selected four-star trial,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Weighted count-11 alternative,Power-weighted binary assignment,Power-weighted binary plan
Mixed-arity single-group trial,V1,32,8e5b08be,O2,Power-weighted binary plan,review/chia_V_w32_mixed/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_V_w32_mixed/20260924/VERDICT.md,Mixed-arity singleton; worse J,Mixed-arity single-group trial,Mixed-arity single-group trial
Final mixed-arity assignment,V2,32,2a287349,O2,Power-weighted binary plan,review/chia_V_w32_mixed/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_V_w32_mixed/20260924/VERDICT.md,Mixed-arity global assignment; sibling of V1,Final mixed-arity assignment,Final mixed-arity plan
Transferred local phase pairs,G0,32,18644d78,projected32,Projected searched RTL,review/chia_G32_phase_transfer/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_G32_phase_transfer/20260924/VERDICT.md,"Local-phase transfer checkpoint, input to both G32 trials",Transferred local phase pairs,Transferred local phase pairs
Three-star local trial,G1,32,00188fb5,G0,Transferred local phase pairs,review/chia_G32_phase_transfer/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_G32_phase_transfer/20260924/VERDICT.md,Three-star trial; its measurement informed selection of ff6,Three-star local trial,Three-star local trial
Searched RTL reference,ref64,64,,,not established in selected table,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,"Fixed normalization reference; an in-project searched RTL, timing-infeasible at final ceiling",Searched RTL reference,Searched RTL reference
