id,width,delay_ns,area_um2,stress_pj,uniform_pj,low_toggle_pj,j,feasible,source_path,source_sha256
bbf,64,2.362535,2427.0,2.534645901,1.9112623699999998,0.37545007220000004,0.9320803737308742,true,review/chia_F_composable_phase/20260924/f03-step-01-receipt.json,3002a702321c1f476cb8258271dd69e2c6d0840dc06affaf8bfcd7befd012cec
H1,64,2.528992,2427.0,2.4287297860000003,1.8140354950000002,0.3478267172,0.8803446654964827,false,review/chia_H_phase_assignment/20260924/h01-receipt.json,dca4a2000828f97392737082dd1d8f2366c7a46aaf6162245657901abfe37ba0
H2,64,2.452134,2427.0,2.440835378,1.823997882,0.3506278517,0.8857813004427838,false,review/chia_H_phase_assignment/20260924/h02-receipt.json,e1576b93e7753686acc4600598512c84ad2f743ff62eff2b92c1366af2de8389
I1,64,2.398176,2447.0,2.475488873,1.848241809,0.36232304410000005,0.9037091361205398,true,review/chia_I_phase_timing_repair/20260924/i01-result.json,a0789a71c66651bb7f45682c1c01e493ab88ce02826cf577bdb6991e5f407d7f
I2,64,2.365566,2427.0,2.53571925,1.911527652,0.375528507,0.9323199671949746,true,review/chia_I_phase_timing_repair/20260924/i02-result.json,4c94f953b1ffc0a2553ee8fe50e403ebe95f0ea23a579206c4b3337c17b7441c
J1,64,2.376334,2427.0,2.4769769520000002,1.8590905530000001,0.3547985398,0.899341999486715,true,review/chia_J_timing_frontier/20260924/j01-result.json,d89a543b521d5be90b451b35d718204c6786de90b644113541f27f3f1e27bcf2
N1,64,2.369255,2427.0,2.4741599919999997,1.856979507,0.3530194954,0.8971559836444075,true,review/chia_N_weighted_phase/20260924/n01-result.json,9c2cf1bac390acf29c7e7a2c1f175ddeb75e059605744e4356b69cdacc755183
N2,64,2.375917,2427.0,2.4721192309999998,1.854768634,0.35327273509999996,0.8967674921289613,true,review/chia_N_weighted_phase/20260924/n02-receipt.json,2bb4f045ab14fc882c8347fd70aa7a7abeb5a2ee7c049535cf66e75457fae64c
S2,64,2.374088,2425.0,2.4701986689999997,1.854111761,0.35179768019999996,0.8951799620117368,true,review/chia_S_folded_xor3/20260924/s02-receipt.json,632f5e0b5a65aaa1836985025b33d9ada0d21c34318ca7da841e1f6632c7eaf1
U1,64,2.430113,2425.0,2.4614430730000003,1.8465147880000001,0.35134537029999996,0.8925153721687227,false,review/chia_U_incumbent_feedback/20260924/u01-receipt.json,b2358b76cf45e815bc9021c541283475388db2f2f6aa9b7c35e1101e4cec7984
U2,64,2.375888,2425.0,2.468786261,1.853478461,0.3517407458,0.8948591220541359,true,review/chia_U_incumbent_feedback/20260924/u02-receipt.json,24be5d6526247aad36d5cebaccc7e2c6c74d9ab50c9447fef067108eb80e0160
U3,64,2.373983,2425.0,2.475585788,1.85910365,0.3522472616,0.8970152663595823,true,review/chia_U_incumbent_feedback/20260924/u03-receipt.json,0f9381721d6adc24e3427c8e7257454cce0d4d4d35802c49dff9e751fce4deb3
R2,64,2.425037,2416.0,2.466217848,1.856532035,0.3514162017,0.8947643094093487,false,review/chia_R_xor3_critical/20260924/r02-receipt.json,42997b9a015ea4162e3ad1b75a7241863979fc7f113a63d7da6d4b9d3d0e1b64
T1,64,2.370334,2424.0,2.470196341,1.862394856,0.3519423262,0.8966336020139302,true,review/chia_T_arity_repair/20260924/t01-receipt.json,e4e9ea2662ce04bfbefe4c85c16a90b30607e7dc19e3b9ebd5ab18cf9cd3fa2f
ff6,32,2.110139,1299.0,1.3316170950000001,0.9302863327,0.2848759686,0.8396371501336096,true,review/chia_G32_phase_transfer/20260924/run-02-result.json,b7b0234120b06e0bd6d2e1edf42a8abc64bf3f73d59130ac0b12fc01bad7603a
O1,32,2.069854,1299.0,1.280009747,0.8892433107000001,0.2677222983,0.799552863297334,true,review/chia_O32_global_phase/20260924/o01-receipt.json,53af6d9ea28b6ff8e7127ab7bc62ea9d7bfa492216490aa61009a60a0416d31f
O2,32,2.098243,1299.0,1.2790707110000001,0.8860687375999999,0.2669597961,0.79764622997943,true,review/chia_O32_global_phase/20260924/o02-receipt.json,d84042680c747e7b77076fa77d8b737d0ff1de247022d72414df435802a938d4
V1,32,2.080952,1297.0,1.2772632179999999,0.8862236427,0.26733046979999997,0.7976856387624334,true,review/chia_V_w32_mixed/20260924/v01-receipt.json,30d9fc9e0b6f0dd01a13f583d69842c238169b50d300400c4abe9c58e7d696cc
V2,32,2.081588,1296.0,1.275677205,0.8836139022999999,0.26626383259999997,0.7955110408817432,true,review/chia_V_w32_mixed/20260924/v02-receipt.json,9239d13500f59daac905c51a259f4f860db5dca6b0f0cf1ab74846dc8247238e
G0,32,2.061026,1299.0,1.363066986,0.9591930575,0.2974786548,0.8672960832000194,true,review/chia_w32_phase_transfer/20260923/receipt.json,d25fa13c4e3e9195446ec72b8493124839f79c680f005b90c1fd6e6898c43eef
G1,32,2.060426,1299.0,1.339273003,0.9376481466,0.2863927511,0.844950729460286,true,review/chia_G32_phase_transfer/20260924/run-01-result.json,90c506420d6726e2418e138a0c605d59c59ab5d0d7c0ca0ad952d8f9a63b6351
